id,predicted_price
2591820310,563010.95640673
7974200820,512449.773259907
7701450110,1489481.4635516
9522300010,1530996.98073803
9510861140,546152.806520541
1761300310,264833.566804167
7732410120,541162.85666134
7010701383,368834.332530161
291310170,548164.203910957
4232901990,400668.354178911
6840701125,463344.847872073
3971700580,316652.373695305
4202400078,338300.345126367
6064800090,480840.28429746
2626119028,385054.045267552
3303980660,993796.300270212
862000020,230268.013677045
2386000070,1075470.38164506
1138000450,364082.601277892
1775800420,309799.867943196
2291401425,597221.281250789
2025770560,2081872.76666098
3525069037,632958.197021402
9324800450,571286.434975076
8080400136,303184.211269384
8651540040,409435.692538042
9407001790,321079.01997755
1773101530,183288.151747139
9432900250,561307.059180104
1794500695,426225.121507306
2220069003,508450.949631277
923000120,734156.75031425
5728000060,399371.639237392
16000200,433088.247298219
1926059094,419671.665775252
6672900220,875911.440579156
3629860060,601577.307794967
1822069109,540486.376871836
6675500105,339934.811321501
249000180,630378.683379855
226059065,318797.492552299
396100110,294592.471224671
9264450460,536980.382276817
7853361210,371761.549874522
9474700020,268734.147188762
421000455,326752.016042786
3755200220,365356.64413857
7960100075,252456.817132349
9477100490,359964.940068426
9138100350,490913.513086416
1624049275,288518.538444808
2770606890,262712.692558838
1157200189,639477.878147785
2770601800,424191.04485202
9301300805,303911.664056565
2325069032,1825565.62516898
1021079099,513765.875720043
7215730040,570741.952045418
1853200080,466101.472388498
3224600340,463127.917474292
3222049120,445498.538413447
2113700025,392241.59360929
7893207925,329989.801794962
3586501085,461774.740086171
8024200010,272601.352846772
7116500705,312160.256467008
1598600209,265198.576458331
7204200025,1152160.57371121
4206901505,729097.47233113
2937300440,482744.360427807
7205000180,529453.475500255
8718500665,400494.206915301
5318101765,580559.696209211
4122700020,383675.082022155
8078700020,392540.706274204
3303980680,912853.653365398
8924100372,741793.316279484
2781270210,277078.866153885
519000043,327692.510734311
3225069301,2148190.1626091
151000075,665621.163808778
2297400020,422628.957081769
6617500085,739440.141056622
104510180,398607.603647887
3528900060,763308.345805267
3345100286,514730.860079815
1226039130,393343.432193382
8712100720,571569.665110277
3037200010,283336.315514944
3626039268,614884.445557323
104510230,439411.781504532
5112800060,383067.347890666
6072400280,477578.044683928
